Gene Symbol	CHR	Start	end	Strand	Ensembl ID	Gene Type	Also Known As	Cytogenetic Region	Description	Summary
UCP2	chr11	73974667	73983307	-	ENSG00000175567.8	protein_coding	BMIQ4|SLC25A8|UCPH	11q13.4	uncoupling protein 2	Mitochondrial uncoupling proteins (UCP) are members of the larger family of mitochondrial anion carrier proteins (MACP). UCPs separate oxidative phosphorylation from ATP synthesis with energy dissipated as heat, also referred to as the mitochondrial proton leak. UCPs facilitate the transfer of anions from the inner to the outer mitochondrial membrane and the return transfer of protons from the outer to the inner mitochondrial membrane. They also reduce the mitochondrial membrane potential in mammalian cells. Tissue specificity occurs for the different UCPs and the exact methods of how UCPs transfer H+/OH- are not known. UCPs contain the three homologous protein domains of MACPs. This gene is expressed in many tissues, with the greatest expression in skeletal muscle. It is thought to play a role in nonshivering thermogenesis, obesity and diabetes. Chromosomal order is 5-UCP3-UCP2-3. [provided by RefSeq, Jul 2008]
UCP3	chr11	74000281	74009435	-	ENSG00000175564.12	protein_coding	SLC25A9	11q13.4	uncoupling protein 3	Mitochondrial uncoupling proteins (UCP) are members of the larger family of mitochondrial anion carrier proteins (MACP). UCPs separate oxidative phosphorylation from ATP synthesis with energy dissipated as heat, also referred to as the mitochondrial proton leak. UCPs facilitate the transfer of anions from the inner to the outer mitochondrial membrane and the return transfer of protons from the outer to the inner mitochondrial membrane. They also reduce the mitochondrial membrane potential in mammalian cells. The different UCPs have tissue-specific expression; this gene is primarily expressed in skeletal muscle. This genes protein product is postulated to protect mitochondria against lipid-induced oxidative stress. Expression levels of this gene increase when fatty acid supplies to mitochondria exceed their oxidation capacity and the protein enables the export of fatty acids from mitochondria. UCPs contain the three solcar protein domains typically found in MACPs. Two splice variants have been found for this gene.[provided by RefSeq, Nov 2008]
UEVLD	chr11	18529609	18588747	-	ENSG00000151116.16	protein_coding	ATTP|UEV3	11p15.1	UEV and lactate/malate dehyrogenase domains	Ubiquitous expression in colon (RPKM 4.6), thyroid (RPKM 3.9) and 25 other tissues
UFC1	chr1	161152776	161158856	+	ENSG00000143222.11	protein_coding	HSPC155|NEDSG	1q23.3	ubiquitin-fold modifier conjugating enzyme 1	UFC1 is an E2-like conjugating enzyme for ubiquitin-fold modifier-1 (UFM1; MIM 610553) (Komatsu et al., 2004 [PubMed 15071506]).[supplied by OMIM, Mar 2008]
UFD1	chr22	 19449911	19479193	-	ENSG00000070010	protein-coding	UFD1L	22q11.21	ubiquitin recognition factor in ER associated degradation 1	The protein encoded by this gene forms a complex with two other proteins, nuclear protein localization-4 and valosin-containing protein, and this complex is necessary for the degradation of ubiquitinated proteins. In addition, this complex controls the disassembly of the mitotic spindle and the formation of a closed nuclear envelope after mitosis. Mutations in this gene have been associated with Catch 22 syndrome as well as cardiac and craniofacial defects. Alternative splicing results in multiple transcript variants encoding different isoforms. A related pseudogene has been identified on chromosome 18. [provided by RefSeq, Jun 2009]
UFL1	chr6	96521595	96555276	+	ENSG00000014123.9	protein_coding	KIAA0776|Maxer|NLBP|RCAD	6q16.1	UFM1 specific ligase 1	Ubiquitous expression in thyroid (RPKM 19.4), prostate (RPKM 15.2) and 25 other tissues
UFM1	chr13	38349849	38363619	+	ENSG00000120686.11	protein_coding	BM-002|C13orf20|HLD14	13q13.3	ubiquitin fold modifier 1	UFM1 is a ubiquitin-like protein that is conjugated to target proteins by E1-like activating enzyme UBA5 (UBE1DC1; MIM 610552) and E2-like conjugating enzyme UFC1 (MIM 610554) in a manner analogous to ubiquitylation (see UBE2M; MIM 603173) (Komatsu et al., 2004 [PubMed 15071506]).[supplied by OMIM, Dec 2008]
UFSP1	chr7	100888723	100889718	-	ENSG00000176125.4	protein_coding	UFSP	7q22.1	UFM1 specific peptidase 1 (inactive)	This gene encodes a protein that is similar to other Ufm1-specific proteases. Studies in mouse determined that Ufsp1 releases Ufm1 (ubiquitin-fold modifier 1) from its bound conjugated complexes which also makes it into an active form. Because the human UFSP1 protein is shorter on the N-terminus and lacks a conserved Cys active site, it is predicted to be non-functional.[provided by RefSeq, Nov 2009]
UFSP2	chr4	185399540	185425985	-	ENSG00000109775.10	protein_coding	BHD|C4orf20|SEMDDR	4q35.1	UFM1 specific peptidase 2	This gene encodes a highly conserved cysteine protease. The protein cleaves two C-terminal residues from ubiquitin-fold modifier 1, a ubiquitin-like post-translational modifier protein. Activation of ubiquitin-fold modifier 1 by the encoded protein exposes a C-terminal glycine residue that allows interaction with other proteins and transfer to its target protein. An allelic variant of this gene has been associated with Beukes hip dysplasia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2016]
UGCG	chr9	111896766	111935369	+	ENSG00000148154.9	protein_coding	GCS|GLCT1	9q31.3	UDP-glucose ceramide glucosyltransferase	This gene encodes an enzyme that catalyzes the first glycosylation step in the biosynthesis of glycosphingolipids, which are membrane components containing lipid and sugar moieties. The product of this reaction is glucosylceramide, which is the core structure of many glycosphingolipids. [provided by RefSeq, Dec 2014]
UGDH	chr4	39498755	39528311	-	ENSG00000109814.11	protein_coding	DEE84|EIEE84|GDH|UDP-GlcDH|UDPGDH|UGD	4p14	UDP-glucose 6-dehydrogenase	The protein encoded by this gene converts UDP-glucose to UDP-glucuronate and thereby participates in the biosynthesis of glycosaminoglycans such as hyaluronan, chondroitin sulfate, and heparan sulfate. These glycosylated compounds are common components of the extracellular matrix and likely play roles in signal transduction, cell migration, and cancer growth and metastasis. The expression of this gene is up-regulated by transforming growth factor beta and down-regulated by hypoxia. Alternative splicing results in multiple transcript variants.[provided by RefSeq, May 2010]
UGDH-AS1	chr4	39528019	39594707	+	ENSG00000249348.1	antisense	-	4p14	UGDH antisense RNA 1	-
UGGT1	chr2	128091200	128195677	+	ENSG00000136731.12	protein_coding	HUGT1|UGCGL1|UGT1	2q14.3	UDP-glucose glycoprotein glucosyltransferase 1	UDP-glucose:glycoprotein glucosyltransferase (UGT) is a soluble protein of the endoplasmic reticulum (ER) that selectively reglucosylates unfolded glycoproteins, thus providing quality control for protein transport out of the ER.[supplied by OMIM, Oct 2009]
UGGT2	chr13	95801580	96053482	-	ENSG00000102595.19	protein_coding	HUGT2|UGCGL2|UGT2	13q32.1	UDP-glucose glycoprotein glucosyltransferase 2	UDP-glucose:glycoprotein glucosyltransferase (UGT) is a soluble protein of the endoplasmic reticulum (ER) that selectively reglucosylates unfolded glycoproteins, thus providing quality control for protein transport out of the ER.[supplied by OMIM, Oct 2009]
UGP2	chr2	63840940	63891562	+	ENSG00000169764.15	protein_coding	DEE83|EIEE83|SVUGP2|UDPG|UDPGP|UDPGP2|UGP1|UGPP1|UGPP2|pHC379	2p15	UDP-glucose pyrophosphorylase 2	The enzyme encoded by this gene is an important intermediary in mammalian carbohydrate interconversions. It transfers a glucose moiety from glucose-1-phosphate to MgUTP and forms UDP-glucose and MgPPi. In liver and muscle tissue, UDP-glucose is a direct precursor of glycogen; in lactating mammary gland it is converted to UDP-galactose which is then converted to lactose. The eukaryotic enzyme has no significant sequence similarity to the prokaryotic enzyme. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]
UGT1A1	chr2	233760248	233773299	+	ENSG00000241635.7	protein_coding	BILIQTL1|GNT1|HUG-BR1|UDPGT|UDPGT 1-1|UGT1|UGT1A	2q37.1	UDP glucuronosyltransferase family 1 member A1	This gene encodes a UDP-glucuronosyltransferase, an enzyme of the glucuronidation pathway that transforms small lipophilic molecules, such as steroids, bilirubin, hormones, and drugs, into water-soluble, excretable metabolites. This gene is part of a complex locus that encodes several UDP-glucuronosyltransferases. The locus includes thirteen unique alternate first exons followed by four common exons. Four of the alternate first exons are considered pseudogenes. Each of the remaining nine 5 exons may be spliced to the four common exons, resulting in nine proteins with different N-termini and identical C-termini. Each first exon encodes the substrate binding site, and is regulated by its own promoter. The preferred substrate of this enzyme is bilirubin, although it also has moderate activity with simple phenols, flavones, and C18 steroids. Mutations in this gene result in Crigler-Najjar syndromes types I and II and in Gilbert syndrome. [provided by RefSeq, Jul 2008]
UGT1A10	chr2	233636454	233773305	+	ENSG00000242515.5	protein_coding	GNT1|UDPGT|UGT-1A|UGT-1J|UGT1|UGT1-01|UGT1-10|UGT1.1|UGT1.10|UGT1A|UGT1A1|UGT1J|hUG-BR1	2q37.1	UDP glucuronosyltransferase family 1 member A10	This gene encodes a UDP-glucuronosyltransferase, an enzyme of the glucuronidation pathway that transforms small lipophilic molecules, such as steroids, bilirubin, hormones, and drugs, into water-soluble, excretable metabolites. This gene is part of a complex locus that encodes several UDP-glucuronosyltransferases. The locus includes thirteen unique alternate first exons followed by four common exons. Four of the alternate first exons are considered pseudogenes. Each of the remaining nine 5 exons may be spliced to the four common exons, resulting in nine proteins with different N-termini and identical C-termini. Each first exon encodes the substrate binding site, and is regulated by its own promoter. The enzyme encoded by this gene has glucuronidase activity on mycophenolic acid, coumarins, and quinolines. [provided by RefSeq, Jul 2008]
UGT1A3	chr2	233729108	233773299	+	ENSG00000243135.6	protein_coding	UDPGT|UDPGT 1-3|UGT-1C|UGT1-03|UGT1.3|UGT1A3S|UGT1C	2q37.1	UDP glucuronosyltransferase family 1 member A3	This gene encodes a UDP-glucuronosyltransferase, an enzyme of the glucuronidation pathway that transforms small lipophilic molecules, such as steroids, bilirubin, hormones, and drugs, into water-soluble, excretable metabolites. This gene is part of a complex locus that encodes several UDP-glucuronosyltransferases. The locus includes thirteen unique alternate first exons followed by four common exons. Four of the alternate first exons are considered pseudogenes. Each of the remaining nine 5 exons may be spliced to the four common exons, resulting in nine proteins with different N-termini and identical C-termini. Each first exon encodes the substrate binding site, and is regulated by its own promoter. Substrates of this enzyme include estrone, 2-hydroxyestrone, and metabolites of benzo alpha-pyrene. [provided by RefSeq, Jul 2008]
UGT1A4	chr2	233718778	233773299	+	ENSG00000244474.5	protein_coding	GNT1|HUG-BR2|UDPGT|UDPGT 1-4|UGT-1A|UGT-1D|UGT1|UGT1-01|UGT1-04|UGT1.1|UGT1.4|UGT1A|UGT1A1|UGT1A4S|UGT1D|hUG-BR1	2q37.1	UDP glucuronosyltransferase family 1 member A4	This gene encodes a UDP-glucuronosyltransferase, an enzyme of the glucuronidation pathway that transforms small lipophilic molecules, such as steroids, bilirubin, hormones, and drugs, into water-soluble, excretable metabolites. This gene is part of a complex locus that encodes several UDP-glucuronosyltransferases. The locus includes thirteen unique alternate first exons followed by four common exons. Four of the alternate first exons are considered pseudogenes. Each of the remaining nine 5 exons may be spliced to the four common exons, resulting in nine proteins with different N-termini and identical C-termini. Each first exon encodes the substrate binding site, and is regulated by its own promoter. This enzyme has some glucuronidase activity towards bilirubin, although is is more active on amines, steroids, and sapogenins. [provided by RefSeq, Jul 2008]
UGT1A6	chr2	233691607	233773300	+	ENSG00000167165.18	protein_coding	GNT1|HLUGP|HLUGP1|UDPGT|UDPGT 1-6|UGT-1A|UGT-1C|UGT-1E|UGT-1F|UGT1|UGT1-01|UGT1-03|UGT1-05|UGT1-06|UGT1.1|UGT1.3|UGT1.5|UGT1.6|UGT1A|UGT1A1|UGT1A3|UGT1A5|UGT1A6S|UGT1C|UGT1E|UGT1F|hUG-BR1	2q37.1	UDP glucuronosyltransferase family 1 member A6	This gene encodes a UDP-glucuronosyltransferase, an enzyme of the glucuronidation pathway that transforms small lipophilic molecules, such as steroids, bilirubin, hormones, and drugs, into water-soluble, excretable metabolites. This gene is part of a complex locus that encodes several UDP-glucuronosyltransferases. The locus includes thirteen unique alternate first exons followed by four common exons. Four of the alternate first exons are considered pseudogenes. Each of the remaining nine 5 exons may be spliced to the four common exons, resulting in nine proteins with different N-termini and identical C-termini. Each first exon encodes the substrate binding site, and is regulated by its own promoter. The enzyme encoded by this gene is active on phenolic and planar compounds. Alternative splicing in the unique 5 end of this gene results in two transcript variants. [provided by RefSeq, Jul 2008]
UGT1A7	chr2	233681938	233773299	+	ENSG00000244122.2	protein_coding	GNT1|UDPGT|UDPGT 1-7|UGT-1A|UGT-1G|UGT1|UGT1-01|UGT1-07|UGT1.1|UGT1.7|UGT1A|UGT1A1|UGT1G|hUG-BR1	2q37.1	UDP glucuronosyltransferase family 1 member A7	This gene encodes a UDP-glucuronosyltransferase, an enzyme of the glucuronidation pathway that transforms small lipophilic molecules, such as steroids, bilirubin, hormones, and drugs, into water-soluble, excretable metabolites. This gene is part of a complex locus that encodes several UDP-glucuronosyltransferases. The locus includes thirteen unique alternate first exons followed by four common exons. Four of the alternate first exons are considered pseudogenes. Each of the remaining nine 5 exons may be spliced to the four common exons, resulting in nine proteins with different N-termini and identical C-termini. Each first exon encodes the substrate binding site, and is regulated by its own promoter. The enzyme encoded by this gene has moderate glucuronidase activity with phenols. [provided by RefSeq, Jul 2008]
